년,월,국적지역,단기체류외국인 수
2022,2,타이완,1200
2022,2,영국,1132
2022,2,이란,764
2022,2,싱가포르,677
2022,2,라오스,623
2022,2,키르기즈,598
2022,2,뉴질랜드,598
2022,2,터키,587
2022,2,홍콩,552
2022,2,브라질,535
2022,2,네덜란드,499
2022,2,타지키스탄,471
2022,2,이탈리아,457
2022,2,멕시코,432
2022,2,나이지리아,365
2022,2,페루,327
2022,2,남아프리카공화국,325
2022,2,이집트,318
2022,2,스페인,301
2022,2,가나,283
2022,2,아랍에미리트연합,262
2022,2,리비아,245
2022,2,폴란드,242
2022,2,스웨덴,242
2022,2,우크라이나,240
2022,2,아르헨티나,238
2022,2,스위스,193
2022,2,벨기에,191
2022,2,핀란드,190
2022,2,모로코,172
2022,2,티모르민주공화국,167
2022,2,이라크,153
2022,2,루마니아,151
2022,2,덴마크,138
2022,2,오스트리아,136
2022,2,노르웨이,126
2022,2,요르단,116
2022,2,아일랜드,114
2022,2,파라과이,113
2022,2,콜롬비아,110
2022,2,칠레,109
2022,2,사우디아라비아,106
2022,2,그리스,101
2022,2,체코,100
2022,2,크로아티아,88
2022,2,에티오피아,75
2022,2,이스라엘,74
2022,2,헝가리,69
2022,2,리투아니아,68
2022,2,에콰도르,64
2022,2,아프가니스탄,64
2022,2,브루나이,64
2022,2,튀니지,61
2022,2,우간다,60
2022,2,포르투갈,57
2022,2,탄자니아,55
2022,2,베네수엘라,52
2022,2,케냐,51
2022,2,알제리,51
2022,2,라이베리아,51
2022,2,과테말라,51
2022,2,코트디부아르,48
2022,2,벨로루시,47
2022,2,불가리아,46
2022,2,카메룬,45
2022,2,투르크메니스탄,42
2022,2,코스타리카,36
2022,2,무국적,36
2022,2,아제르바이잔,35
2022,2,도미니카공화국,35
2022,2,온두라스,33
2022,2,시리아,32
2022,2,슬로바크,32
2022,2,예멘공화국,28
2022,2,조지아,27
2022,2,콩고민주공화국,26
2022,2,짐바브웨,26
2022,2,수단,26
2022,2,세네갈,25
2022,2,마카오,23
2022,2,라트비아,22
2022,2,자메이카,21
2022,2,알바니아,20
2022,2,오만,19
2022,2,슬로베니아,19
2022,2,볼리비아,19
2022,2,말리,19
2022,2,에스토니아,18
2022,2,파나마,17
2022,2,세르비아,17
2022,2,르완다,17
2022,2,쿠웨이트,16
2022,2,가봉,16
2022,2,우루과이,15
2022,2,시에라리온,15
2022,2,말라위,15
2022,2,국제연합,15
2022,2,피지,14
2022,2,마샬군도,14
2022,2,홍콩거주난민,13
2022,2,키프로스,13
2022,2,미등록국가,13
2022,2,몰도바,13
2022,2,잠비아,12
2022,2,콩고,11
2022,2,앙골라,11
2022,2,레바논,11
2022,2,니카라과,11
2022,2,부룬디,10
2022,2,베냉,10
2022,2,몰타,10
2022,2,기니,10
2022,2,팔레스타인,9
2022,2,영국외지민,9
2022,2,아이티,9
2022,2,미이크로네시아,9
2022,2,모리셔스,9
2022,2,팔라우,8
2022,2,파푸아뉴기니,8
2022,2,엘살바도르,8
2022,2,에스와티니,8
2022,2,부르키나파소,8
2022,2,쿠바,7
2022,2,자이르,7
2022,2,아이슬란드,7
2022,2,룩셈부르크,7
2022,2,카타르,6
2022,2,모리타니,6
2022,2,트리니다드토바고,5
2022,2,토고,5
2022,2,사모아,5
2022,2,보츠와나,5
2022,2,모잠비크,5
2022,2,마다가스카르,5
2022,2,감비아,5
2022,2,통가,4
2022,2,코모로,4
2022,2,지부티,4
2022,2,중앙아프리카공화국,4
2022,2,수리남,4
2022,2,도미니카연방,4
2022,2,코소보,3
2022,2,적도기니,3
2022,2,소말리아,3
2022,2,세인트크리스토퍼네비스,3
2022,2,벨리즈,3
2022,2,바누아투,3
2022,2,나우루,3
2022,2,기니비사우,3
2022,2,에리트레아,2
2022,2,아르메니아,2
2022,2,상투메프린시페,2
2022,2,보스니아헤르체고비나,2
2022,2,바레인,2
2022,2,몬테네그로,2
2022,2,레소토,2
2022,2,니제르,2
2022,2,카보베르데,1
2022,2,차드,1
2022,2,유고슬라비아,1
2022,2,안도라,1
2022,2,스발바르,1
2022,2,세이셸,1
2022,2,세르비아몬테네그로,1
2022,2,산마리노,1
2022,2,부탄,1
2022,2,바하마,1
2022,2,바베이도스,1
2022,2,모나코,1
2022,2,그레나다,1
2022,2,가이아나,1
2022,3,가나,271
2022,3,가봉,18
2022,3,감비아,4
2022,3,과테말라,51
2022,3,국제연합,20
2022,3,그레나다,1
2022,3,그리스,112
2022,3,기니,9
2022,3,기니비사우,3
2022,3,나미비아,1
2022,3,나우루,3
2022,3,나이지리아,367
2022,3,남아프리카공화국,266
2022,3,네덜란드,350
2022,3,네팔,1943
2022,3,노르웨이,85
2022,3,뉴질랜드,607
2022,3,니제르,2
2022,3,니카라과,9
2022,3,덴마크,129
2022,3,도미니카공화국,35
2022,3,도미니카연방,4
2022,3,독일,1374
2022,3,라오스,564
2022,3,라이베리아,55
2022,3,라트비아,26
2022,3,러시아연방,9107
2022,3,레바논,12
2022,3,레소토,2
2022,3,루마니아,162
2022,3,룩셈부르크,6
2022,3,르완다,18
2022,3,리비아,290
2022,3,리투아니아,28
2022,3,마다가스카르,3
2022,3,마샬군도,14
2022,3,마카오,25
2022,3,말라위,14
2022,3,말레이시아,1774
2022,3,말리,18
2022,3,멕시코,334
2022,3,모나코,1
2022,3,모로코,161
2022,3,모리셔스,9
2022,3,모리타니,4
2022,3,모잠비크,5
2022,3,몬테네그로,8
2022,3,몰도바,9
2022,3,몰타,10
2022,3,몽골,13444
2022,3,무국적,39
2022,3,미국,73306
2022,3,미등록국가,12
2022,3,미얀마,1652
2022,3,미이크로네시아,10
2022,3,바누아투,2
2022,3,바레인,21
2022,3,바베이도스,2
2022,3,바하마,1
2022,3,방글라데시,3417
2022,3,베냉,10
2022,3,베네수엘라,61
2022,3,베트남,30257
2022,3,벨기에,162
2022,3,벨로루시,39
2022,3,벨리즈,4
2022,3,보스니아헤르체고비나,2
2022,3,보츠와나,2
2022,3,볼리비아,14
2022,3,부룬디,11
2022,3,부르키나파소,8
2022,3,불가리아,34
2022,3,브라질,490
2022,3,브루나이,33
2022,3,사모아,5
2022,3,사우디아라비아,123
2022,3,산마리노,1
2022,3,상투메프린시페,2
2022,3,세네갈,22
2022,3,세르비아,14
2022,3,세르비아몬테네그로,1
2022,3,세이셸,1
2022,3,세인트크리스토퍼네비스,2
2022,3,소말리아,3
2022,3,수단,29
2022,3,수리남,4
2022,3,스리랑카,1381
2022,3,스발바르,1
2022,3,스웨덴,188
2022,3,스위스,183
2022,3,스페인,356
2022,3,슬로바크,29
2022,3,슬로베니아,14
2022,3,시리아,34
2022,3,시에라리온,13
2022,3,싱가포르,1114
2022,3,아랍에미리트연합,251
2022,3,아르메니아,5
2022,3,아르헨티나,237
2022,3,아이슬란드,3
2022,3,아이티,9
2022,3,아일랜드,80
2022,3,아제르바이잔,26
2022,3,아프가니스탄,51
2022,3,안도라,2
2022,3,알바니아,22
2022,3,알제리,51
2022,3,앙골라,6
2022,3,에리트레아,4
2022,3,에스와티니,6
2022,3,에스토니아,19
2022,3,에콰도르,59
2022,3,에티오피아,70
2022,3,엘살바도르,10
2022,3,영국,1114
2022,3,영국외지민,10
2022,3,예멘공화국,27
2022,3,오만,23
2022,3,오스트레일리아,1914
2022,3,오스트리아,103
2022,3,온두라스,27
2022,3,요르단,122
2022,3,우간다,44
2022,3,우루과이,11
2022,3,우즈베키스탄,4286
2022,3,우크라이나,302
2022,3,유고슬라비아,1
2022,3,이라크,167
2022,3,이란,734
2022,3,이스라엘,83
2022,3,이집트,361
2022,3,이탈리아,358
2022,3,인도,1635
2022,3,인도네시아,4197
2022,3,일본,3997
2022,3,자메이카,22
2022,3,자이르,7
2022,3,잠비아,13
2022,3,적도기니,3
2022,3,조지아,22
2022,3,중국,56682
2022,3,중앙아프리카공화국,4
2022,3,지부티,4
2022,3,짐바브웨,22
2022,3,차드,1
2022,3,체코,75
2022,3,칠레,91
2022,3,카메룬,43
2022,3,카보베르데,1
2022,3,카자흐스탄,7455
2022,3,카타르,7
2022,3,캄보디아,1565
2022,3,캐나다,2391
2022,3,케냐,55
2022,3,코모로,4
2022,3,코소보,4
2022,3,코스타리카,32
2022,3,코트디부아르,40
2022,3,콜롬비아,99
2022,3,콩고,12
2022,3,콩고민주공화국,25
2022,3,쿠바,3
2022,3,쿠웨이트,19
2022,3,크로아티아,42
2022,3,키르기즈,573
2022,3,키프로스,10
2022,3,태국,139237
2022,3,타이완,960
2022,3,타지키스탄,432
2022,3,탄자니아,34
2022,3,터키,513
2022,3,토고,5
2022,3,통가,4
2022,3,투르크메니스탄,29
2022,3,튀니지,60
2022,3,트리니다드토바고,6
2022,3,티모르민주공화국,161
2022,3,파나마,13
2022,3,파라과이,112
2022,3,파키스탄,2256
2022,3,파푸아뉴기니,8
2022,3,팔라우,8
2022,3,팔레스타인,10
2022,3,페루,327
2022,3,포르투갈,52
2022,3,폴란드,148
2022,3,프랑스,1511
2022,3,피지,13
2022,3,핀란드,98
2022,3,필리핀,8881
2022,3,한국계중국인,6288
2022,3,헝가리,55
2022,3,홍콩,496
2022,3,홍콩거주난민,13
2022,4,태국,139728
2022,4,미국,80351
2022,4,중국,53635
2022,4,베트남,29342
2022,4,몽골,13001
2022,4,필리핀,9702
2022,4,러시아연방,9206
2022,4,카자흐스탄,7871
2022,4,한국계중국인,6008
2022,4,우즈베키스탄,4382
2022,4,캐나다,4204
2022,4,인도네시아,3744
2022,4,방글라데시,3619
2022,4,일본,3431
2022,4,오스트레일리아,2748
2022,4,파키스탄,2306
2022,4,네팔,2274
2022,4,프랑스,2145
2022,4,말레이시아,1891
2022,4,독일,1611
2022,4,싱가포르,1581
2022,4,인도,1568
2022,4,미얀마,1567
2022,4,캄보디아,1481
2022,4,영국,1410
2022,4,스리랑카,1336
2022,4,터키,1003
2022,4,타이완,904
2022,4,키르기즈,749
2022,4,이란,722
2022,4,뉴질랜드,718
2022,4,라오스,687
2022,4,브라질,625
2022,4,네덜란드,600
2022,4,스페인,545
2022,4,타지키스탄,493
2022,4,이탈리아,471
2022,4,우크라이나,459
2022,4,홍콩,451
2022,4,멕시코,394
2022,4,나이지리아,355
2022,4,이집트,330
2022,4,페루,320
2022,4,스위스,297
2022,4,가나,281
2022,4,아르헨티나,273
2022,4,폴란드,250
2022,4,남아프리카공화국,249
2022,4,스웨덴,244
2022,4,아랍에미리트연합,241
2022,4,덴마크,201
2022,4,리비아,195
2022,4,이라크,187
2022,4,벨기에,180
2022,4,티모르민주공화국,180
2022,4,노르웨이,167
2022,4,모로코,155
2022,4,오스트리아,142
2022,4,루마니아,135
2022,4,아일랜드,124
2022,4,콜롬비아,121
2022,4,칠레,118
2022,4,파라과이,116
2022,4,핀란드,107
2022,4,그리스,102
2022,4,이스라엘,100
2022,4,체코,88
2022,4,요르단,85
2022,4,에콰도르,77
2022,4,포르투갈,75
2022,4,아이티,66
2022,4,베네수엘라,63
2022,4,사우디아라비아,63
2022,4,튀니지,62
2022,4,리투아니아,55
2022,4,과테말라,54
2022,4,라이베리아,54
2022,4,헝가리,54
2022,4,아프가니스탄,50
2022,4,도미니카공화국,48
2022,4,알제리,47
2022,4,크로아티아,46
2022,4,에티오피아,44
2022,4,우간다,42
2022,4,코트디부아르,42
2022,4,무국적,40
2022,4,불가리아,39
2022,4,예멘공화국,39
2022,4,카메룬,38
2022,4,벨로루시,37
2022,4,슬로바크,37
2022,4,케냐,37
2022,4,탄자니아,35
2022,4,코스타리카,34
2022,4,시리아,32
2022,4,온두라스,32
2022,4,레바논,27
2022,4,수단,27
2022,4,아제르바이잔,25
2022,4,에스토니아,25
2022,4,라트비아,24
2022,4,마카오,24
2022,4,국제연합,23
2022,4,알바니아,22
2022,4,자메이카,22
2022,4,짐바브웨,22
2022,4,세르비아,21
2022,4,말리,20
2022,4,부룬디,20
2022,4,세네갈,18
2022,4,콩고민주공화국,18
2022,4,투르크메니스탄,17
2022,4,피지,17
2022,4,르완다,15
2022,4,마샬군도,15
2022,4,브루나이,15
2022,4,슬로베니아,15
2022,4,조지아,15
2022,4,콩고,15
2022,4,가봉,14
2022,4,앙골라,14
2022,4,오만,14
2022,4,우루과이,14
2022,4,파나마,13
2022,4,홍콩거주난민,13
